,Year,GDP_Current_USD,GDP_Growth_Percent,GDP_Per_Capita_USD,Inflation_Rate_Percent,Official_Exchange_Rate,Population_Total,Population_Growth_Percent,Exports_USD,Imports_USD,Trade_Percent_GDP,Industry_Value_Added_Percent_GDP
0,1960,4199134389.9037,0,195.57752721271,9.82241081297867,75.75000007575,21470434,,581541416.309979,730164938.544145,31.2375416706824,25.747575219078
1,1961,4426949094.8403,10.3909183549937,200.081529294917,3.16256439585745,75.75000007575,22125726,3.00641779761326,607915176.686849,702251188.378474,29.595243518665,27.8282147162268
2,1962,4693566416.48346,7.90926792965325,205.786809656996,0.721320571656337,75.75000007575,22807907,3.03662701704347,680443017.723241,642016253.810446,28.1759999579277,29.5449602403599
3,1963,4928628018.38759,7.04207522912871,209.559376274106,0.371849607221666,75.75000007575,23519005,3.07015436284033,755608234.797319,614102503.644774,27.7909132791522,30.8629517793278
4,1964,5379845647.70139,8.4752282487856,221.731727810865,3.81448957223043,75.75000007575,24262859,3.11379271685126,882202284.606294,878548557.845873,32.7286498118115,31.4020558314607
5,1965,6197319929.04038,17.0357115203008,247.526675505342,2.15437483520967,75.75000007575,25036978,3.14071071653765,1000884206.30221,1021055598.16535,32.6260355705187,32.8271292371268
6,1966,6789938671.75094,11.5024072848285,262.877683796365,-0.388148532154432,75.75000007575,25829270,3.11544929495017,1106379247.80969,1195883822.88719,33.9069788697103,33.5632308867464
7,1967,7555383690.16,11.2528030961675,283.733705768331,1.59761007964354,75.75000007575,26628432,3.04711721337762,1306819826.6739,1485305337.76284,36.9554383859175,35.1854983613906
8,1968,8623172959.89803,14.4041826754728,314.285456656503,0.690360521996233,75.75000007575,27437391,2.99272010313839,1507260405.53811,1768850273.65624,37.9919397932741,36.3029454808022
9,1969,9743089607.49587,15.5166589080891,344.60168745738,3.59319451551281,75.75000007575,28273482,3.00176153959819,1756492441.09952,2050926064.80408,39.0781431690247,38.5389825609322
10,1970,10976245153.5894,10.9276016296547,376.606879152564,1.66687093970068,75.75000007575,29145100,3.03624690535546,2026823484.96244,2327125276.96966,39.6670145483067,40.5825838821532
11,1971,13731802833.0363,13.7015829939225,457.283638013187,4.19529837265423,75.7500000694375,30029071,2.98791431738961,3172763666.53012,2928005748.47917,44.4280295106766,43.1348365846254
12,1972,17153463263.1086,14.4990158486367,554.748034126016,6.39824135128871,75.7499701345202,30921179,2.92754078662497,3936283736.24781,3689022456.10533,44.4534498683576,43.3949036271738
13,1973,27081698249.5083,7.44168161210852,850.560177143749,9.81948673318762,68.8860419482585,31839838,2.9276919371507,9056140483.66646,5594486011.58364,54.0978869207957,53.6456415377513
14,1974,46209092072.1383,5.80105084782068,1408.96571902093,14.2489355382567,67.641342246617,32796463,2.96024011860532,21889677076.8229,11105780993.8801,71.404688105953,62.3233342048455
15,1975,51776222349.8869,-0.326216240773292,1531.70617122603,12.8791818338341,67.6549455324406,33802973,3.02280829911323,21091425210.7667,18318369217.6393,76.1156234266906,56.7326854899817
16,1976,68055295080.7538,18.2604356281607,1953.51969678549,11.2561425062111,70.2390698610516,34837271,3.01390622093458,25319975895.9271,19212061650.3177,65.4350811254341,57.2430228800494
17,1977,80600122701.9632,-2.77357769163513,2243.05559538309,27.2877846793093,70.6337318788855,35933181,3.09733110556331,24821052416.5613,23448812229.3988,59.8880783649035,53.2913152667196
18,1978,77994316621.4814,-12.8408566742286,2100.77015324703,11.7219692041212,70.4920309761581,37126535,3.26708126037505,18308804922.6659,17330359279.2199,45.6945656371966,45.6827943887383
19,1979,90391877325.9285,-12.0207602547921,2352.42655152643,10.4872367273486,70.4920309761581,38424952,3.43750971676968,24176515151.1735,14516475276.5984,42.8058267760669,45.7533747535559
20,1980,94362275580.0229,-21.5996493516924,2368.39285730478,20.6439144373798,70.631848089676,39842324,3.62227241112561,12961626483.9921,27125991304.742,42.4826738676286,35.1535961009599
21,1981,100499312749.923,-5.69678723333881,2393.44985576145,24.2035897624486,78.3468453777361,41989312,5.24853453599241,12431487008.5232,28082907605.863,40.3131061355616,34.7208664383379
22,1982,125948756439.485,23.1712455355796,2844.87611384065,18.6897259269564,83.6226700245569,44272141,5.29404981884125,21524982662.5459,26415543502.6735,38.0635168781944,40.5381894473648
23,1983,156365156618.241,11.0867168468735,3397.06140021273,19.7401891778611,86.3787358940775,46029535,3.89276477740576,22725836919.8725,37834565739.2118,38.7301135168752,38.0590843368735
24,1984,162276728619.519,-7.13985049890006,3395.33697556582,12.5402194538868,90.0514398915356,47793998,3.76168110891254,18359078550.03,26971526131.8362,27.9341376101748,34.4398184667695
25,1985,180183629599.684,1.86764993250704,3634.03209560745,4.38934095741541,91.0735868439752,49582289,3.67336265910169,16006784597.2546,25746070824.8196,23.1723911405475,30.5554457327572
26,1986,209094561833.48,-9.78490557801793,4064.34667297515,18.4290030211474,78.7787830685101,51446045,3.68998952261074,7802605539.0852,21773514753.7416,14.1448539041301,24.9097403321323
27,1987,134009995923.169,-0.172107687605632,2513.15111564745,28.5714285714292,71.4774357190432,53323493,3.58434147152931,12271835669.7727,11695655290.9005,17.8848531376826,24.9787619019357
28,1988,123057861333.908,-6.08199661986552,2234.46235141335,28.6706349206345,68.6997646296701,55072694,3.227701834245,8964962591.90088,17595820159.0408,21.5839788397354,24.8072134818308
29,1989,120496362916.271,6.13211567717991,2124.97214820344,22.3496530454896,72.0322364263672,56704914,2.92068520102392,11841502481.9823,21819187475.77,27.9350257079062,26.1450895390896
30,1990,124813263926.225,13.594926443584,2137.94222739877,7.62767493763934,68.1123727149296,58380092,2.91140676618439,16573631049.5276,29707835777.732,37.0805676988111,32.7998198191744
31,1991,131637664958.014,12.7161484424098,2194.43906803657,17.1285679434012,67.5217300147946,59986931,2.71517805230603,18198012420.8553,39978163183.8507,44.1941716478042,33.3941037703575
32,1992,119768691216.667,3.29798191958058,1957.48507794252,25.8077226162332,65.5678412857706,61184983,1.9775061761777,15767057948.5,32617010800.1667,40.3979272522381,33.5415741510386
33,1993,63743623232.012,-1.47101148218381,1038.10985682067,21.2026307547761,1268.07876133881,61403543,0.356575347965537,16197325830.8709,13150789256.8168,46.0408643243691,42.0293502409352
34,1994,71841461172.5964,-1.69828611909162,1167.76272513795,31.4470284237728,1749.17373625079,61520598,0.190450849489937,20321213940.5656,9571397629.15167,41.6091363981328,43.3701571029777
35,1995,96419225743.6737,2.40104455220023,1550.0095955025,49.6559858462746,1748.35024562759,62205567,1.10724517815505,20900063457.4499,12985745383.9766,35.1442449159574,39.4404238932804
36,1996,120403931885.441,6.35052601873645,1914.78121294313,28.9373440168137,1751.18635583594,62881300,1.08043248596744,24315730858.1923,18092098185.0846,35.2212991546042,42.0825362513932
37,1997,113919163421.155,1.3503992743003,1790.06617575598,17.3492257538708,1753.34547748286,63639638,1.19876929995268,19682874297.9673,17511229163.5186,32.6495581116416,38.7114436760975
38,1998,110276913362.508,2.08001178027133,1709.19334096046,17.8661342130398,1752.28599459359,64519859,1.37365526787202,13986840980.1622,18245137476.6064,29.2282196463134,32.5035534129176
39,1999,113848450088.351,2.00269623253435,1739.59462001458,20.0707078146866,1753.35494977139,65445391,1.4243001822483,21963669399.3289,17752833899.8082,34.8854141345934,37.4588861757893
40,2000,109591707802.216,5.84552747578209,1650.01385833785,14.4767513188567,1764.85606929191,66418659,1.47619563346635,23526115003.4898,21688407084.2785,41.2572474638031,40.3059101601225
41,2001,126878750295.944,2.39217271207868,1881.02266635283,11.2742471332117,1753.98568465785,67452005,1.54382818918331,24491811633.614,26939208540.9864,40.535566479523,39.9172619781884
42,2002,128626917503.72,8.07882927975243,1891.25756091033,14.3359337378404,6907.03445561653,68011317,0.82578098646242,31402849782.6087,30560192008.0422,48.1726865520657,45.5029348793712
43,2003,151911222119.488,8.6392983972006,2208.99636552406,16.4680116244792,8193.88751916667,68769340,1.10838882782602,37411894954.6003,39575353987.9256,50.6791057753261,45.0599495545921
